asburyparkoceanfront|the Asbury Park Oceanfront in Asbury Park, NJ|https://www.facebook.com/TheAsburyParkBoardwalk?fref=ts|ocean, oceanfront, boardwalk, jersey, new jersey, jersey shore, asbury park, beach, sea, water, swimming, sand
benjimans|Benjiman's Restaurant in Forest, VA|https://www.facebook.com/pages/Benjamins-Restaurant/104157669628518?fref=ts|Forest, Virginia, VA, Benjimans, restaurant
broadberry|Broadberry in Richmond, VA|https://www.facebook.com/thebroadberryrva|Richmond, Virginia, Broadberry
canalclub|The Canal Club in Richmond, VA|https://www.facebook.com/pages/Canal-Club/113826281982017?fref=ts|Canal Club, Richmond, VA, Virginia
charlottemotorspeedway|Charlotte Motor Speedway in Charlotte, NC|https://www.facebook.com/CharlotteMotorSpeedway?fref=ts|Charlotte Motor Speedway, race, cars, charlotte, north carolina, racecar, racetrack, speedway
conedenim|Cone Denim Entertainment Center in Greensboro, NC|https://www.facebook.com/cdecgreensboro|Cone Denim Entertainment Center, Greensboro, NC, North Carolina
fillmoresilverspring|The Fillmore in Silver Spring, MD|https://www.facebook.com/TheFillmoreSilverSpring?fref=ts|Fillmore, silver spring, maryland, fillmore silver spring
grogandtankard|Grog and Tankard in Stafford, VA|https://www.facebook.com/TheGrogAndTankard|Stafford, Virginia, Grog and Tankard
insideout|Inside Out in Roanoke, VA|https://www.facebook.com/insideoutvenueroanoke?fref=ts|Inside Out, Virginia, Rainbow Forest, roanoke
lincolntheatre|Lincoln Theatre in Raleigh, NC|https://www.facebook.com/pages/Lincoln-Theatre/34178271614|Raleigh, NC, Lincoln Theatre, north carolina
mercurylounge|Mercury Lounge in New York City, NY|https://www.facebook.com/mercuryloungeNY|NYC, New York, New York City, Mercury Lounge
motorco|Motorco in Durham, NC|https://www.facebook.com/motorco?fref=ts|Durham, NC, Motorco
southerncafe|The Southern Cafe and Music Hall in Charlottesville, VA|https://www.facebook.com/TheSouthernCville?fref=ts|Charlottesville, Virginia, Southern Cafe, Music Hall, venue
strangematter|Strange Matter in Richmond, VA|https://www.facebook.com/StrangeMatterRVA?fref=ts|Richmond, Virginia, Strange Matter, bar
theblindtiger|The Blind Tiger in Greensboro, NC|https://www.facebook.com/pages/The-Blind-Tiger/184720291546064?fref=ts|Greensboro, North Carolina, Blind Tiger, bar
thecamel|The Camel in Richmond, VA|https://www.facebook.com/thecamelrva|the camel, camel, richmond, bar, rva, broad street, virginia, va
thekoiroom|The Koi Room in Silver Spring, MD|https://www.facebook.com/thekoiroom?fref=ts|Silver Spring, Maryland, Koi Room
toolry|Toolry in Lynchburg, VA|https://www.facebook.com/ToolryLynchburg?fref=ts|Lynchburg, Virginia, Toolry
ustreetmusichall|U Street Music Hall in Washington, DC|https://www.facebook.com/uhalldc|Washington, Washington DC, U Street, U Street Music Hall
whitehart|White Hart in Lynchburg, VA|https://www.facebook.com/WhiteHartCafe|Lynchburg, Virginia, White Hart, White Hart Cafe, Inklings
worldcafelive|World Cafe Live in Philadelphia, PA|https://www.facebook.com/wclive|Philly, Philadelphia, World Cafe, World Cafe Live
riseabovethaashes|Rise Above Tha Ashes in Lynchburg, VA|https://www.facebook.com/riseAboveThAAsheS?fref=ts|rise above tha ashes, rise above the ashes, vape, lynchburg, virginia, timberlake
parlorongranby|The Parlor on Granby in Norfolk, VA|https://www.facebook.com/pages/The-Parlor-On-Granby/539730669457329|parlor at granby, parlor on granby, norfolk, va, virginia
thetincan|The Tin Can in Roanoke, VA||the tin can, tin can, house show, roanoke, virginia
local506|Local 506 in Chapel Hill, NC|https://www.facebook.com/Local506|local 506, chapel hill, north carolina, carrboro
willies|Willie's Lunchbox in Southern Pines, NC|https://www.facebook.com/WilliesLunchBox|willies, southern pines, north carolina
thegoldenpony|The Golden Pony in Harrisonburg, VA|https://www.facebook.com/TheGoldenPony?fref=ts|golden pony, harrisonburg, va, virginia
